"","rounded_det","n","proportion","group"
"1",2018-03-02,214,0.638805970149254,"2018 Upper Release Group"
"2",2018-03-03,83,0.247761194029851,"2018 Upper Release Group"
"3",2018-03-04,18,0.0537313432835821,"2018 Upper Release Group"
"4",2018-03-05,3,0.00895522388059702,"2018 Upper Release Group"
"5",2018-03-06,3,0.00895522388059702,"2018 Upper Release Group"
"6",2018-03-07,3,0.00895522388059702,"2018 Upper Release Group"
"7",2018-03-08,3,0.00895522388059702,"2018 Upper Release Group"
"8",2018-03-09,3,0.00895522388059702,"2018 Upper Release Group"
"9",2018-03-11,1,0.00298507462686567,"2018 Upper Release Group"
"10",2018-03-12,1,0.00298507462686567,"2018 Upper Release Group"
"11",2018-03-15,1,0.00298507462686567,"2018 Upper Release Group"
"12",2018-03-16,1,0.00298507462686567,"2018 Upper Release Group"
"13",2018-03-27,1,0.00298507462686567,"2018 Upper Release Group"
