group,Hex,Length,Weight
sjscarf1,772A,75,4.6
sjscarf1,7A54,74,4.5
sjscarf1,7745,73,4.4
sjscarf1,816A,77,5.3
sjscarf1,82A6,76,4.8
sjscarf1,7A6D,75,4.8
sjscarf1,82A9,73,4.3
sjscarf1,72EA,78,4.9
sjscarf1,75B4,77,4.7
sjscarf1,774D,79,5.1
sjscarf1,7249,78,5.3
sjscarf1,73AD,74,4.4
sjscarf1,7A35,78,4.7
sjscarf1,749B,78,5.4
sjscarf1,72BB,75,4.4
sjscarf1,7523,74,4.3
sjscarf1,7355,75,4.4
sjscarf1,7ACA,76,4.4
sjscarf1,834A,75,4.5
sjscarf1,7689,77,4.6
sjscarf1,7D52,74,4.4
sjscarf1,7A92,75,4.4
sjscarf1,7369,73,4.2
sjscarf1,76F5,81,6.8
sjscarf1,757A,80,5.3
sjscarf1,72A7,77,4.7
sjscarf1,7D53,77,4.6
sjscarf1,76ED,75,4.5
sjscarf1,7995,75,4.5
sjscarf1,7753,81,6
sjscarf1,7297,76,4.7
sjscarf1,7653,77,4.8
sjscarf1,74EB,73,4.4
sjscarf1,7A29,79,5.5
sjscarf1,7529,75,4.7
sjscarf1,765D,75,4.5
sjscarf1,7561,75,4.6
sjscarf1,76A3,78,4.9
sjscarf1,7A49,73,4.7
sjscarf1,7252,77,4.6
sjscarf1,7657,76,4.6
sjscarf1,7D5A,78,4.7
sjscarf1,78AA,77,5.2
sjscarf1,7532,74,4.5
sjscarf1,822A,80,5.2
sjscarf1,7749,76,4.4
sjscarf1,74D7,75,4.5
sjscarf1,792A,78,5
sjscarf1,776D,79,5.4
sjscarf1,74BB,76,4.5
sjscarf1,7935,75,4.4
sjscarf1,7AB3,74,4.3
sjscarf1,7511,80,5.2
sjscarf1,750A,75,4.4
sjscarf1,7489,78,5.2
sjscarf1,7253,75,4.6
sjscarf1,7ACB,77,4.8
sjscarf1,8155,78,4.7
sjscarf1,7453,75,4.4
sjscarf1,76A4,75,4.4
sjscarf1,82A8,78,5.3
sjscarf1,7AAB,80,6.1
sjscarf1,75A4,76,4.6
sjscarf1,729A,75,4.6
sjscarf1,7B59,76,4.6
sjscarf1,757B,79,4.8
sjscarf1,7568,75,4.36
sjscarf1,82A2,75,4.6
sjscarf1,72AE,75,4.5
sjscarf1,7353,77,4.8
sjscarf1,812A,75,4.6
sjscarf1,7D2A,73,4.3
sjscarf1,72BD,77,4.6
sjscarf1,74DA,75,4.4
sjscarf1,7293,76,4.5
sjscarf1,7A4A,79,5.1
sjscarf1,76B2,77,4.5
sjscarf1,7292,76,4.5
sjscarf1,7395,77,4.6
sjscarf1,7AA1,78,5
sjscarf1,74B2,56,4.3
sjscarf1,8154,78,4.7
sjscarf1,7255,80,5
sjscarf1,829A,77,4.8
sjscarf1,76A1,79,4.9
sjscarf1,754B,77,5
sjscarf1,7542,75,4.5
sjscarf1,7CAA,77,4.8
sjscarf1,7AB4,78,4.9
sjscarf1,7D4D,75,4.4
sjscarf1,7E55,76,4.6
sjscarf1,76A9,78,5.3
sjscarf1,7915,78,4.9
sjscarf1,7563,75,4.6
sjscarf1,7DB5,77,4.8
sjscarf1,75DA,78,5.1
sjscarf1,74B6,75,4.8
sjscarf1,750B,74,4.4
sjscarf1,7D35,77,4.5
sjscarf1,74B9,82,5.4
sjscarf1,745B,79,5.3
sjscarf1,74AD,77,4.7
sjscarf1,7DAD,83,5.8
sjscarf1,75A3,82,5.6
sjscarf1,7645,77,4.5
sjscarf1,768D,77,4.8
sjscarf1,7EAD,75,4.5
sjscarf1,7375,79,5
sjscarf1,72AD,78,5.3
sjscarf1,732B,84,5.9
sjscarf1,75A7,79,5
sjscarf1,745A,77,4.6
sjscarf1,765B,75,4.6
sjscarf1,7B53,76,4.8
sjscarf1,7A9D,75,4.5
sjscarf1,7EAB,77,4.7
sjscarf1,755D,77,4.7
sjscarf1,7254,75,4.4
sjscarf1,7509,74,4.6
sjscarf1,7452,75,4.6
sjscarf1,7754,77,4.7
sjscarf1,76D5,80,5.22
sjscarf1,7D2B,79,4.6
sjscarf1,755F,76,4.4
sjscarf1,7665,77,4.6
sjscarf1,7597,78,5.3
sjscarf1,751B,79,5.3
sjscarf1,7553,78,4.8
sjscarf1,742B,75,4.5
sjscarf1,7B2D,78,4.9
sjscarf1,7546,73,4.4
sjscarf1,72B9,76,4.6
sjscarf1,735B,76,4.6
sjscarf1,7D15,77,4.7
sjscarf1,7549,77,4.9
sjscarf1,745D,76,4.5
sjscarf1,7ADD,78,5.2
sjscarf1,7955,78,5
sjscarf1,7517,74,4.4
sjscarf1,79B5,75,4.4
sjscarf1,72E9,78,4.7
sjscarf1,72D9,75,4.5
sjscarf1,72A5,74,4.5
sjscarf1,766A,75,4.8
sjscarf1,758D,82,5.5
sjscarf1,76CD,77,4.8
sjscarf1,7651,73,4.4
sjscarf1,7957,79,5.4
sjscarf1,7954,76,4.3
sjscarf1,74D9,79,5.2
sjscarf1,76DB,75,4.4
sjscarf1,72B3,77,4.9
sjscarf1,7CAD,76,4.2
sjscarf1,7569,82,5.6
sjscarf1,7574,74,4.4
sjscarf1,7329,76,4.7
sjscarf2,76AD,77,5
sjscarf2,74EA,82,5.7
sjscarf2,794A,84,6.2
sjscarf2,725D,78,4.9
sjscarf2,7B6B,81,5.8
sjscarf2,7B57,73,4.1
sjscarf2,7B5D,80,5.4
sjscarf2,7629,77,4.7
sjscarf2,7AC5,75,4.4
sjscarf2,75D5,75,4.4
sjscarf2,7855,75,4.3
sjscarf2,7492,73,4.3
sjscarf2,72D5,77,4.7
sjscarf2,756C,77,4.9
sjscarf2,7A89,74,4.4
sjscarf2,7589,73,4.1
sjscarf2,75D3,79,4.8
sjscarf2,7A99,75,4.7
sjscarf2,76AF,80,5.3
sjscarf2,75D2,74,4.4
sjscarf2,82B4,79,4.7
sjscarf2,7AA3,80,5.4
sjscarf2,8295,74,4.3
sjscarf2,7AED,75,4.6
sjscarf2,7D69,77,4.8
sjscarf2,72C5,77,4.8
sjscarf2,754E,73,4.4
sjscarf2,7B6A,78,4.8
sjscarf2,7B69,74,4.5
sjscarf2,7A6B,73,4.2
sjscarf2,71AA,75,4.6
sjscarf2,82AB,75,4.5
sjscarf2,74B3,75,4.5
sjscarf2,77AA,79,5.5
sjscarf2,77B5,78,4.9
sjscarf2,75A5,74,4.3
sjscarf2,8292,72,4.2
sjscarf2,7A45,76,4.7
sjscarf2,7625,76,4.7
sjscarf2,7A56,77,4.7
sjscarf2,7449,77,4.8
sjscarf2,7D51,80,5.5
