Parameter,rkm,survival,cumul
Rel,183.85,1,1
sA1,172.48,0.815978335,0.815978335
sA2,167.23,1.007878078,0.822406675
sA3,163.53,0.949954781,0.781249153
phiC1A7,72.24,0.1489,0.116327999
sA8,52.05,0.950466841,0.110565906
lambda,1.71,0.5555,0.061419361
