2017 Upper Release Mainstem Route,2017 Upper Release Paradise Cut Route,2017 Upper Release Old River Route
Upstream_Release,Paradise Cut,OR Head OR
165,Chipps,Chipps
Hills Ferry,,
Durham Ferry,,
BCA,,
HOR,,
SJG,,
MAC,,
Chipps,,
Benicia ,,
Golden Gate,,
