"","rounded_det","n","proportion","group"
"1",2017-03-23,24,0.0839160839160839,"2017 Durham Release Group"
"2",2017-03-24,102,0.356643356643357,"2017 Durham Release Group"
"3",2017-03-25,20,0.0699300699300699,"2017 Durham Release Group"
"4",2017-03-26,7,0.0244755244755245,"2017 Durham Release Group"
"5",2017-03-27,4,0.013986013986014,"2017 Durham Release Group"
"6",2017-03-28,8,0.027972027972028,"2017 Durham Release Group"
"7",2017-03-29,4,0.013986013986014,"2017 Durham Release Group"
"8",2017-03-30,4,0.013986013986014,"2017 Durham Release Group"
"9",2017-03-31,6,0.020979020979021,"2017 Durham Release Group"
"10",2017-04-01,4,0.013986013986014,"2017 Durham Release Group"
"11",2017-04-02,16,0.0559440559440559,"2017 Durham Release Group"
"12",2017-04-03,12,0.041958041958042,"2017 Durham Release Group"
"13",2017-04-04,11,0.0384615384615385,"2017 Durham Release Group"
"14",2017-04-05,5,0.0174825174825175,"2017 Durham Release Group"
"15",2017-04-06,3,0.0104895104895105,"2017 Durham Release Group"
"16",2017-04-07,3,0.0104895104895105,"2017 Durham Release Group"
"17",2017-04-08,2,0.00699300699300699,"2017 Durham Release Group"
"18",2017-04-09,12,0.041958041958042,"2017 Durham Release Group"
"19",2017-04-10,8,0.027972027972028,"2017 Durham Release Group"
"20",2017-04-11,2,0.00699300699300699,"2017 Durham Release Group"
"21",2017-04-12,6,0.020979020979021,"2017 Durham Release Group"
"22",2017-04-13,2,0.00699300699300699,"2017 Durham Release Group"
"23",2017-04-14,4,0.013986013986014,"2017 Durham Release Group"
"24",2017-04-15,2,0.00699300699300699,"2017 Durham Release Group"
"25",2017-04-16,2,0.00699300699300699,"2017 Durham Release Group"
"26",2017-04-18,1,0.0034965034965035,"2017 Durham Release Group"
"27",2017-04-19,2,0.00699300699300699,"2017 Durham Release Group"
"28",2017-04-20,1,0.0034965034965035,"2017 Durham Release Group"
"29",2017-04-21,2,0.00699300699300699,"2017 Durham Release Group"
"30",2017-04-26,1,0.0034965034965035,"2017 Durham Release Group"
"31",2017-04-29,1,0.0034965034965035,"2017 Durham Release Group"
"32",2017-05-03,2,0.00699300699300699,"2017 Durham Release Group"
"33",2017-05-04,2,0.00699300699300699,"2017 Durham Release Group"
"34",2017-05-10,1,0.0034965034965035,"2017 Durham Release Group"
