parameter,survival,cumul,rkm 
Rel,1,1,317.79
sA1,0.529858,0.529858,305.42
sA2,0.630038,0.333830675,280.67
sA3,0.830535,0.277258059,257.64
sA4,0.950293,0.263476393,240.55
sA5,0.947151,0.249551929,211.17
sA6,0.886991,0.221350315,181.72
S_DFtoChipps,0.310542641,0.068738711,72.24
sA14,0.914434542,0.062857052,52.05
lambda,0.409090915,0.025714249,1.71
