"date","time","sensor_20","datetime"
2017-03-02,"0145",34200,2017-03-02 01:45:00
2017-03-02,"0200",34200,2017-03-02 02:00:00
2017-03-02,"0215",34200,2017-03-02 02:15:00
2017-03-02,"0230",34100,2017-03-02 02:30:00
2017-03-02,"0245",34200,2017-03-02 02:45:00
2017-03-02,"0300",34200,2017-03-02 03:00:00
2017-03-02,"0315",34100,2017-03-02 03:15:00
2017-03-02,"0330",34100,2017-03-02 03:30:00
2017-03-02,"0345",34200,2017-03-02 03:45:00
2017-03-02,"0400",34000,2017-03-02 04:00:00
2017-03-02,"0415",34000,2017-03-02 04:15:00
2017-03-02,"0430",34000,2017-03-02 04:30:00
2017-03-02,"0445",34100,2017-03-02 04:45:00
2017-03-02,"0500",34000,2017-03-02 05:00:00
2017-03-02,"0515",34000,2017-03-02 05:15:00
2017-03-02,"0530",34000,2017-03-02 05:30:00
2017-03-02,"0545",34000,2017-03-02 05:45:00
2017-03-02,"0600",34000,2017-03-02 06:00:00
2017-03-02,"0615",34000,2017-03-02 06:15:00
2017-03-02,"0630",33800,2017-03-02 06:30:00
2017-03-02,"0645",34000,2017-03-02 06:45:00
2017-03-02,"0700",33900,2017-03-02 07:00:00
2017-03-02,"0715",33900,2017-03-02 07:15:00
2017-03-02,"0730",33800,2017-03-02 07:30:00
2017-03-02,"0745",33800,2017-03-02 07:45:00
2017-03-02,"0800",33800,2017-03-02 08:00:00
2017-03-02,"0815",33800,2017-03-02 08:15:00
2017-03-02,"0830",33800,2017-03-02 08:30:00
2017-03-02,"0845",33800,2017-03-02 08:45:00
2017-03-02,"0900",33800,2017-03-02 09:00:00
2017-03-02,"0915",33900,2017-03-02 09:15:00
2017-03-02,"0930",33800,2017-03-02 09:30:00
2017-03-02,"0945",33800,2017-03-02 09:45:00
2017-03-02,"1000",33800,2017-03-02 10:00:00
2017-03-02,"1015",33700,2017-03-02 10:15:00
2017-03-02,"1030",33700,2017-03-02 10:30:00
2017-03-02,"1045",33700,2017-03-02 10:45:00
2017-03-02,"1100",33700,2017-03-02 11:00:00
2017-03-02,"1115",33700,2017-03-02 11:15:00
2017-03-02,"1130",33700,2017-03-02 11:30:00
2017-03-02,"1145",33700,2017-03-02 11:45:00
2017-03-02,"1200",33700,2017-03-02 12:00:00
2017-03-02,"1215",33700,2017-03-02 12:15:00
2017-03-02,"1230",33600,2017-03-02 12:30:00
2017-03-02,"1245",33700,2017-03-02 12:45:00
2017-03-02,"1300",33600,2017-03-02 13:00:00
2017-03-02,"1315",33600,2017-03-02 13:15:00
2017-03-02,"1330",33600,2017-03-02 13:30:00
2017-03-02,"1345",33600,2017-03-02 13:45:00
2017-03-02,"1400",33600,2017-03-02 14:00:00
2017-03-02,"1415",33600,2017-03-02 14:15:00
2017-03-02,"1430",33600,2017-03-02 14:30:00
2017-03-02,"1445",33700,2017-03-02 14:45:00
2017-03-02,"1500",33500,2017-03-02 15:00:00
2017-03-02,"1515",33600,2017-03-02 15:15:00
2017-03-02,"1530",33500,2017-03-02 15:30:00
2017-03-02,"1545",33500,2017-03-02 15:45:00
2017-03-02,"1600",33500,2017-03-02 16:00:00
2017-03-02,"1615",33500,2017-03-02 16:15:00
2017-03-02,"1630",33500,2017-03-02 16:30:00
2017-03-02,"1645",33500,2017-03-02 16:45:00
2017-03-02,"1700",33400,2017-03-02 17:00:00
2017-03-02,"1715",33400,2017-03-02 17:15:00
2017-03-02,"1730",33400,2017-03-02 17:30:00
2017-03-02,"1745",33500,2017-03-02 17:45:00
2017-03-02,"1800",33400,2017-03-02 18:00:00
2017-03-02,"1815",33400,2017-03-02 18:15:00
2017-03-02,"1830",33400,2017-03-02 18:30:00
2017-03-02,"1845",33400,2017-03-02 18:45:00
2017-03-02,"1900",33400,2017-03-02 19:00:00
