"","rounded_det","n","proportion","group"
"1",2018-03-15,40,0.178571428571429,"2018 Durham Release Group"
"2",2018-03-16,162,0.723214285714286,"2018 Durham Release Group"
"3",2018-03-17,6,0.0267857142857143,"2018 Durham Release Group"
"4",2018-03-18,4,0.0178571428571429,"2018 Durham Release Group"
"5",2018-03-19,1,0.00446428571428571,"2018 Durham Release Group"
"6",2018-03-23,3,0.0133928571428571,"2018 Durham Release Group"
"7",2018-03-24,2,0.00892857142857143,"2018 Durham Release Group"
"8",2018-03-25,3,0.0133928571428571,"2018 Durham Release Group"
"9",2018-03-27,1,0.00446428571428571,"2018 Durham Release Group"
"10",2018-03-29,1,0.00446428571428571,"2018 Durham Release Group"
"11",2018-04-09,1,0.00446428571428571,"2018 Durham Release Group"
