year,hex,length,weight
2018 Release Fish ,76A5,80,5.3
2018 Release Fish ,7CA9,76,4.7
2018 Release Fish ,7D75,77,4.7
2018 Release Fish ,7533,84,6.25
2018 Release Fish ,7D2D,84,6.1
2018 Release Fish ,75EB,77,5.1
2018 Release Fish ,776B,80,5.3
2018 Release Fish ,825A,78,4.7
2018 Release Fish ,736A,79,5.2
2018 Release Fish ,76B4,77,4.6
2018 Release Fish ,7BAA,79,5.1
2018 Release Fish ,753D,75,4.5
2018 Release Fish ,72A1,78,4.9
2018 Release Fish ,7D54,75,4.4
2018 Release Fish ,764A,78,5.1
2018 Release Fish ,7AA2,79,4.9
2018 Release Fish ,7AA9,77,4.9
2018 Release Fish ,7AB1,77,4.8
2018 Release Fish ,7595,76,4.7
2018 Release Fish ,7D6B,78,4.8
2018 Release Fish ,764D,77,4.6
2018 Release Fish ,7475,78,4.6
2018 Release Fish ,79D5,78,5
2018 Release Fish ,76D2,73,4.35
2018 Release Fish ,72CD,77,4.7
2018 Release Fish ,82AD,76,4.6
2018 Release Fish ,72B1,77,4.6
2018 Release Fish ,72A8,74,4.4
2018 Release Fish ,732D,77,4.8
2018 Release Fish ,72DB,77,4.5
2018 Release Fish ,74BD,80,5.1
2018 Release Fish ,7694,75,4.4
2018 Release Fish ,76CA,76,4.3
2018 Release Fish ,752E,82,5.8
2018 Release Fish ,72D3,75,4.5
2018 Release Fish ,7315,77,5.2
2018 Release Fish ,72EB,77,4.8
2018 Release Fish ,83AA,80,5.7
2018 Release Fish ,82EA,76,4.8
2018 Release Fish ,7B56,79,5.2
2018 Release Fish ,78A5,75,4.3
2018 Release Fish ,72A9,77,4.8
2018 Release Fish ,73AA,75,4.5
2018 Release Fish ,76EA,77,4.8
2018 Release Fish ,724A,75,4.3
2018 Release Fish ,722B,83,5.6
2018 Release Fish ,842A,78,4.8
2018 Release Fish ,72AF,75,4.4
2018 Release Fish ,7548,76,4.7
2018 Release Fish ,7AA8,76,4.5
2018 Release Fish ,76AC,75,4.3
2018 Release Fish ,82D6,78,5
2018 Release Fish ,71B5,77,4.6
2018 Release Fish ,7.00E+95,78,4.8
2018 Release Fish ,7ABA,78,5.1
2018 Release Fish ,7229,79,5.2
2018 Release Fish ,769B,75,4.7
2018 Release Fish ,7335,78,4.9
2018 Release Fish ,7456,74,4.5
2018 Release Fish ,7D6A,76,4.4
2018 Release Fish ,7572,76,4.4
2018 Release Fish ,7775,77,5.1
2018 Release Fish ,7556,77,4.8
2018 Release Fish ,7929,84,6.2
2018 Release Fish ,7545,72,4.4
2018 Release Fish ,76AA,78,5.2
2018 Release Fish ,7759,79,4.9
2018 Release Fish ,7B54,75,4.4
2018 Release Fish ,759D,75,4.5
2018 Release Fish ,7485,78,5
2018 Release Fish ,75CB,75,4.6
2018 Release Fish ,74D3,81,5.6
2018 Release Fish ,744B,76,4.9
2018 Release Fish ,726B,76,4.6
2018 Release Fish ,7AD5,78,4.7
2018 Release Fish ,726A,78,5.2
2018 Release Fish ,7257,76,4.3
2018 Release Fish ,7429,74,4.3
2018 Release Fish ,7B2A,77,4.9
2018 Release Fish ,7445,78,4.8
2018 Release Fish ,759A,75,4.6
2018 Release Fish ,7345,83,5.7
2018 Release Fish ,74DB,80,5.3
2018 Release Fish ,7AA6,77,4.6
2018 Release Fish ,795A,77,4.65
2018 Release Fish ,7535,77,4.8
2018 Release Fish ,7B35,76,4.7
2018 Release Fish ,74D4,77,4.9
2018 Release Fish ,775B,75,4.6
2018 Release Fish ,7755,75,4.6
2018 Release Fish ,749D,81,5.7
2018 Release Fish ,76A6,78,5.1
2018 Release Fish ,7351,76,4.9
2018 Release Fish ,7D4B,78,4.9
2018 Release Fish ,7AD6,78,4.6
2018 Release Fish ,79A5,79,5.1
2018 Release Fish ,76D7,79,5
2018 Release Fish ,76BA,78,4.8
2018 Release Fish ,7751,78,4.5
2018 Release Fish ,7ABB,81,6
2018 Release Fish ,77D5,76,4.6
2018 Release Fish ,7259,77,4.9
2018 Release Fish ,7A52,78,4.9
2018 Release Fish ,72B7,75,4.4
2018 Release Fish ,75D6,77,4.9
2018 Release Fish ,736D,77,4.5
2018 Release Fish ,7356,78,4.5
2018 Release Fish ,7725,77,4.3
2018 Release Fish ,7D5B,75,4.4
2018 Release Fish ,82B5,82,5.1
2018 Release Fish ,75EA,80,5.2
2018 Release Fish ,7.60E+06,75,4.6
2018 Release Fish ,75D4,76,4.5
2018 Release Fish ,7451,82,5.4
2018 Release Fish ,7A25,75,4.4
2018 Release Fish ,7AA5,74,4.4
2018 Release Fish ,7A5D,77,4.4
2018 Release Fish ,76D4,75,4.6
2018 Release Fish ,759B,75,4.6
2018 Release Fish ,72B6,80,5.1
2018 Release Fish ,71D5,77,4.4
2018 Release Fish ,77A9,79,4.7
2018 Release Fish ,7496,77,4.7
2018 Release Fish ,735A,77,4.5
2018 Release Fish ,7BB5,79,5.2
2018 Release Fish ,7A53,77,4.9
2018 Release Fish ,7596,77,4.9
2018 Release Fish ,7576,76,4.4
2018 Release Fish ,749A,79,5.2
2018 Release Fish ,75CD,75,4.5
2018 Release Fish ,7.50E+06,79,5.1
2018 Release Fish ,7352,76,4.7
2018 Release Fish ,75A6,75,4.5
2018 Release Fish ,7536,74,4.3
2018 Release Fish ,7469,78,4.6
2018 Release Fish ,74ED,77,4.7
2018 Release Fish ,72F5,75,4.5
2018 Release Fish ,75ED,80,5.7
2018 Release Fish ,728B,79,5
2018 Release Fish ,75B5,76,4.8
2018 Release Fish ,768B,78,4.9
2018 Release Fish ,792D,78,5.2
2018 Release Fish ,7949,76,4.5
2018 Release Fish ,7564,79,5.1
2018 Release Fish ,71A9,76,4.8
2018 Release Fish ,75AF,75,4.5
2018 Release Fish ,792B,76,4.7
2018 Release Fish ,7655,77,4.6
2018 Release Fish ,82D4,75,4.4
2018 Release Fish ,756E,75,4.4
2018 Release Fish ,7512,83,6.1
2018 Release Fish ,7795,74,4.4
2018 Release Fish ,78AD,77,4.5
2018 Release Fish ,7BAB,75,4.6
2018 Release Fish ,7A15,78,5
2018 Release Fish ,74A3,79,4.9
2018 Release Fish ,724B,76,4.7
2018 Release Fish ,7497,79,5.2
2018 Release Fish ,7285,79,4.8
2018 Release Fish ,735D,78,4.7
2018 Release Fish ,7697,76,4.8
2018 Release Fish ,72DD,80,6.15
2018 Release Fish ,7EA5,79,5.77
2018 Release Fish ,7D5D,79,5.5
2018 Release Fish ,77AB,75,4.62
2018 Release Fish ,7579,73,4.4
2018 Release Fish ,774B,75,4.7
2018 Release Fish ,7493,75,4.7
2018 Release Fish ,7455,76,4.8
2018 Release Fish ,795B,77,5
2018 Release Fish ,76B9,77,4.7
2018 Release Fish ,7A93,75,4.4
2018 Release Fish ,7515,76,4.6
2018 Release Fish ,7534,76,5.1
2018 Release Fish ,7925,73,4.4
2018 Release Fish ,794D,77,5
2018 Release Fish ,75CA,77,5
2018 Release Fish ,7765,75,4.7
2018 Release Fish ,772A,75,4.6
2018 Release Fish ,7A54,74,4.5
2018 Release Fish ,7745,73,4.4
2018 Release Fish ,816A,77,5.3
2018 Release Fish ,82A6,76,4.8
2018 Release Fish ,7A6D,75,4.8
2018 Release Fish ,82A9,73,4.3
2018 Release Fish ,72EA,78,4.9
2018 Release Fish ,75B4,77,4.7
2018 Release Fish ,774D,79,5.1
2018 Release Fish ,7249,78,5.3
2018 Release Fish ,73AD,74,4.4
2018 Release Fish ,7A35,78,4.7
2018 Release Fish ,749B,78,5.4
2018 Release Fish ,72BB,75,4.4
2018 Release Fish ,7523,74,4.3
2018 Release Fish ,7355,75,4.4
2018 Release Fish ,7ACA,76,4.4
2018 Release Fish ,834A,75,4.5
2018 Release Fish ,7689,77,4.6
2018 Release Fish ,7D52,74,4.4
2018 Release Fish ,7A92,75,4.4
2018 Release Fish ,7369,73,4.2
2018 Release Fish ,76F5,81,6.8
2018 Release Fish ,757A,80,5.3
2018 Release Fish ,72A7,77,4.7
2018 Release Fish ,7D53,77,4.6
2018 Release Fish ,76ED,75,4.5
2018 Release Fish ,7995,75,4.5
2018 Release Fish ,7753,81,6
2018 Release Fish ,7297,76,4.7
2018 Release Fish ,7653,77,4.8
2018 Release Fish ,74EB,73,4.4
2018 Release Fish ,7A29,79,5.5
2018 Release Fish ,7529,75,4.7
2018 Release Fish ,765D,75,4.5
2018 Release Fish ,7561,75,4.6
2018 Release Fish ,76A3,78,4.9
2018 Release Fish ,7A49,73,4.7
2018 Release Fish ,7252,77,4.6
2018 Release Fish ,7657,76,4.6
2018 Release Fish ,7D5A,78,4.7
2018 Release Fish ,78AA,77,5.2
2018 Release Fish ,7532,74,4.5
2018 Release Fish ,822A,80,5.2
2018 Release Fish ,7749,76,4.4
2018 Release Fish ,74D7,75,4.5
2018 Release Fish ,792A,78,5
2018 Release Fish ,776D,79,5.4
2018 Release Fish ,74BB,76,4.5
2018 Release Fish ,7935,75,4.4
2018 Release Fish ,7AB3,74,4.3
2018 Release Fish ,7511,80,5.2
2018 Release Fish ,750A,75,4.4
2018 Release Fish ,7489,78,5.2
2018 Release Fish ,7253,75,4.6
2018 Release Fish ,7ACB,77,4.8
2018 Release Fish ,8155,78,4.7
2018 Release Fish ,7453,75,4.4
2018 Release Fish ,76A4,75,4.4
2018 Release Fish ,82A8,78,5.3
2018 Release Fish ,7AAB,80,6.1
2018 Release Fish ,75A4,76,4.6
2018 Release Fish ,729A,75,4.6
2018 Release Fish ,7B59,76,4.6
2018 Release Fish ,757B,79,4.8
2018 Release Fish ,7568,75,4.36
2018 Release Fish ,82A2,75,4.6
2018 Release Fish ,72AE,75,4.5
2018 Release Fish ,7353,77,4.8
2018 Release Fish ,812A,75,4.6
2018 Release Fish ,7D2A,73,4.3
2018 Release Fish ,72BD,77,4.6
2018 Release Fish ,74DA,75,4.4
2018 Release Fish ,7293,76,4.5
2018 Release Fish ,7A4A,79,5.1
2018 Release Fish ,76B2,77,4.5
2018 Release Fish ,7292,76,4.5
2018 Release Fish ,7395,77,4.6
2018 Release Fish ,7AA1,78,5
2018 Release Fish ,74B2,56,4.3
2018 Release Fish ,8154,78,4.7
2018 Release Fish ,7255,80,5
2018 Release Fish ,829A,77,4.8
2018 Release Fish ,76A1,79,4.9
2018 Release Fish ,754B,77,5
2018 Release Fish ,7542,75,4.5
2018 Release Fish ,7CAA,77,4.8
2018 Release Fish ,7AB4,78,4.9
2018 Release Fish ,7D4D,75,4.4
2018 Release Fish ,7.00E+55,76,4.6
2018 Release Fish ,76A9,78,5.3
2018 Release Fish ,7915,78,4.9
2018 Release Fish ,7563,75,4.6
2018 Release Fish ,7DB5,77,4.8
2018 Release Fish ,75DA,78,5.1
2018 Release Fish ,74B6,75,4.8
2018 Release Fish ,750B,74,4.4
2018 Release Fish ,7D35,77,4.5
2018 Release Fish ,74B9,82,5.4
2018 Release Fish ,745B,79,5.3
2018 Release Fish ,74AD,77,4.7
2018 Release Fish ,7DAD,83,5.8
2018 Release Fish ,75A3,82,5.6
2018 Release Fish ,7645,77,4.5
2018 Release Fish ,768D,77,4.8
2018 Release Fish ,7EAD,75,4.5
2018 Release Fish ,7375,79,5
2018 Release Fish ,72AD,78,5.3
2018 Release Fish ,732B,84,5.9
2018 Release Fish ,75A7,79,5
2018 Release Fish ,745A,77,4.6
2018 Release Fish ,765B,75,4.6
2018 Release Fish ,7B53,76,4.8
2018 Release Fish ,7A9D,75,4.5
2018 Release Fish ,7EAB,77,4.7
2018 Release Fish ,755D,77,4.7
2018 Release Fish ,7254,75,4.4
2018 Release Fish ,7509,74,4.6
2018 Release Fish ,7452,75,4.6
2018 Release Fish ,7754,77,4.7
2018 Release Fish ,76D5,80,5.22
2018 Release Fish ,7D2B,79,4.6
2018 Release Fish ,755F,76,4.4
2018 Release Fish ,7665,77,4.6
2018 Release Fish ,7597,78,5.3
2018 Release Fish ,751B,79,5.3
2018 Release Fish ,7553,78,4.8
2018 Release Fish ,742B,75,4.5
2018 Release Fish ,7B2D,78,4.9
2018 Release Fish ,7546,73,4.4
2018 Release Fish ,72B9,76,4.6
2018 Release Fish ,735B,76,4.6
2018 Release Fish ,7D15,77,4.7
2018 Release Fish ,7549,77,4.9
2018 Release Fish ,745D,76,4.5
2018 Release Fish ,7ADD,78,5.2
2018 Release Fish ,7955,78,5
2018 Release Fish ,7517,74,4.4
2018 Release Fish ,79B5,75,4.4
2018 Release Fish ,7.20E+10,78,4.7
2018 Release Fish ,72D9,75,4.5
2018 Release Fish ,72A5,74,4.5
2018 Release Fish ,766A,75,4.8
2018 Release Fish ,758D,82,5.5
2018 Release Fish ,76CD,77,4.8
2018 Release Fish ,7651,73,4.4
2018 Release Fish ,7957,79,5.4
2018 Release Fish ,7954,76,4.3
2018 Release Fish ,74D9,79,5.2
2018 Release Fish ,76DB,75,4.4
2018 Release Fish ,72B3,77,4.9
2018 Release Fish ,7CAD,76,4.2
2018 Release Fish ,7569,82,5.6
2018 Release Fish ,7574,74,4.4
2018 Release Fish ,7329,76,4.7
2018 Release Fish ,76AD,77,5
2018 Release Fish ,74EA,82,5.7
2018 Release Fish ,794A,84,6.2
2018 Release Fish ,725D,78,4.9
2018 Release Fish ,7B6B,81,5.8
2018 Release Fish ,7B57,73,4.1
2018 Release Fish ,7B5D,80,5.4
2018 Release Fish ,7629,77,4.7
2018 Release Fish ,7AC5,75,4.4
2018 Release Fish ,75D5,75,4.4
2018 Release Fish ,7855,75,4.3
2018 Release Fish ,7492,73,4.3
2018 Release Fish ,72D5,77,4.7
2018 Release Fish ,756C,77,4.9
2018 Release Fish ,7A89,74,4.4
2018 Release Fish ,7589,73,4.1
2018 Release Fish ,75D3,79,4.8
2018 Release Fish ,7A99,75,4.7
2018 Release Fish ,76AF,80,5.3
2018 Release Fish ,75D2,74,4.4
2018 Release Fish ,82B4,79,4.7
2018 Release Fish ,7AA3,80,5.4
2018 Release Fish ,8295,74,4.3
2018 Release Fish ,7AED,75,4.6
2018 Release Fish ,7D69,77,4.8
2018 Release Fish ,72C5,77,4.8
2018 Release Fish ,754E,73,4.4
2018 Release Fish ,7B6A,78,4.8
2018 Release Fish ,7B69,74,4.5
2018 Release Fish ,7A6B,73,4.2
2018 Release Fish ,71AA,75,4.6
2018 Release Fish ,82AB,75,4.5
2018 Release Fish ,74B3,75,4.5
2018 Release Fish ,77AA,79,5.5
2018 Release Fish ,77B5,78,4.9
2018 Release Fish ,75A5,74,4.3
2018 Release Fish ,8292,72,4.2
2018 Release Fish ,7A45,76,4.7
2018 Release Fish ,7625,76,4.7
2018 Release Fish ,7A56,77,4.7
2018 Release Fish ,7449,77,4.8
2018 Release Fish ,7D51,80,5.5
2018 Release Fish ,7B65,77,4.5
2018 Release Fish ,751A,80,5.4
2018 Release Fish ,7A57,78,5.4
2018 Release Fish ,7A2B,77,4.9
2018 Release Fish ,73A5,76,4.5
2018 Release Fish ,7AB2,77,4.7
2018 Release Fish ,73B5,79,4.8
2018 Release Fish ,7B6D,75,4.4
2018 Release Fish ,72A2,76,4.8
2018 Release Fish ,7.40E+10,80,5.6
2018 Release Fish ,7AD7,75,4.7
2018 Release Fish ,76A8,75,4.5
2018 Release Fish ,7652,76,4.6
2018 Release Fish ,769A,80,5.4
2018 Release Fish ,8356,74,4.2
2018 Release Fish ,74A9,75,4.5
2018 Release Fish ,7951,81,6
2018 Release Fish ,7550,77,4.8
2018 Release Fish ,7599,78,5.6
2018 Release Fish ,7A96,83,6.5
2018 Release Fish ,76B7,78,5.2
2018 Release Fish ,82AC,76,4.6
2018 Release Fish ,7752,74,4.3
2018 Release Fish ,7245,74,4.5
2018 Release Fish ,7558,75,4.5
2018 Release Fish ,8294,77,4.9
2018 Release Fish ,756B,75,4.5
2018 Release Fish ,7AF5,76,4.9
2018 Release Fish ,74F5,75,4.5
2018 Release Fish ,7CAB,76,4.9
2018 Release Fish ,7A65,80,5.9
2018 Release Fish ,736B,75,4.6
2018 Release Fish ,754F,72,4.3
2018 Release Fish ,7275,76,4.8
2018 Release Fish ,72AB,74,4.5
2018 Release Fish ,7D45,73,4.3
2018 Release Fish ,7375,76,4.6
2018 Release Fish ,76CB,76,4.8
2018 Release Fish ,78B5,77,5.1
2018 Release Fish ,775D,75,4.9
2018 Release Fish ,7BAD,79,5.5
2018 Release Fish ,7D95,76,4.3
2018 Release Fish ,7499,75,4.6
2018 Release Fish ,7715,74,4.6
2018 Release Fish ,753A,78,5.2
2018 Release Fish ,7551,79,5.4
2018 Release Fish ,7A55,76,4.7
2018 Release Fish ,74C9,79,5.7
2018 Release Fish ,7B29,75,5
2018 Release Fish ,7294,75,5
2018 Release Fish ,7494,81,5.5
2018 Release Fish ,7AB6,76,4.6
2018 Release Fish ,72A6,74,4.2
2018 Release Fish ,75A2,75,4.5
2018 Release Fish ,7D56,74,4.8
2018 Release Fish ,test,72,4.2
2018 Release Fish ,7349,76,4.4
2018 Release Fish ,72D7,73,4.3
2018 Release Fish ,7495,76,4.8
2018 Release Fish ,796D,76,4.8
2018 Release Fish ,75F5,72,4.6
2018 Release Fish ,75B1,74,4.4
2018 Release Fish ,772A,74,4.6
2018 Release Fish ,74A1,81,6.2
2018 Release Fish ,75AE,78,5.3
2018 Release Fish ,75DB,80,5.7
2018 Release Fish ,7AAC,77,4.9
2018 Release Fish ,72CA,78,5.1
2018 Release Fish ,758A,77,5.3
2018 Release Fish ,76DD,78,4.9
2018 Release Fish ,7CB5,78,6.3
2018 Release Fish ,7615,77,5.3
2018 Release Fish ,7654,73,4.5
2018 Release Fish ,832A,79,5.3
2018 Release Fish ,75BD,74,4.6
2018 Release Fish ,7.20E+06,75,4.7
2018 Release Fish ,74AE,79,5.4
2018 Release Fish ,82AE,76,4.4
2018 Release Fish ,7415,77,4.3
2018 Release Fish ,7557,75,4.3
2018 Release Fish ,7459,75,4.4
2018 Release Fish ,7CA5,78,4.3
2018 Release Fish ,7B15,77,4.9
2018 Release Fish ,7A2D,78,5.2
2018 Release Fish ,7325,76,4.5
2018 Release Fish ,82BA,73,4.3
2018 Release Fish ,7692,77,4.4
2018 Release Fish ,76EB,77,4.5
2018 Release Fish ,815A,77,4.3
2018 Release Fish ,7577,78,4.4
2018 Release Fish ,8152,77,4.9
2018 Release Fish ,7ADB,78,4.7
2018 Release Fish ,7296,78,4.9
2018 Release Fish ,7A51,77,4.7
2018 Release Fish ,7DA9,81,5.4
2018 Release Fish ,768A,79,5.3
2018 Release Fish ,7591,76,4.5
2018 Release Fish ,74A7,76,4.6
2018 Release Fish ,836A,80,5.3
2018 Release Fish ,7635,79,5.2
2018 Release Fish ,7B5A,78,4.6
2018 Release Fish ,8255,77,4.5
2018 Release Fish ,79AD,79,4.8
2018 Release Fish ,734D,78,5.5
2018 Release Fish ,758B,77,5.2
2018 Release Fish ,7AE9,76,5.1
2018 Release Fish ,7756,77,5.2
2018 Release Fish ,7A95,77,5.4
2018 Release Fish ,7519,74,4.8
2018 Release Fish ,82D2,77,5.4
2018 Release Fish ,7A85,75,5.1
2018 Release Fish ,7675,80,5.6
2018 Release Fish ,78D5,77,5
2018 Release Fish ,7537,83,6.6
2018 Release Fish ,76BD,82,6.3
2018 Release Fish ,75BA,76,5.3
2018 Release Fish ,7685,76,5.3
2018 Release Fish ,72D1,75,4.7
2018 Release Fish ,722D,74,4.8
2018 Release Fish ,7AB9,74,4.6
2018 Release Fish ,76D3,78,5.5
2018 Release Fish ,754D,76,5.1
2018 Release Fish ,74DD,76,5.1
2018 Release Fish ,7AD3,79,5.7
2018 Release Fish ,74B7,72,4.4
2018 Release Fish ,7265,75,5.2
2018 Release Fish ,7B4B,75,5.1
2018 Release Fish ,7ABD,76,4.5
2018 Release Fish ,76B6,73,4.5
2018 Release Fish ,794B,75,4.5
2018 Release Fish ,774A,74,4.1
2018 Release Fish ,7A94,74,4.1
2018 Release Fish ,7ACD,75,4.2
2018 Release Fish ,7299,82,6.1
2018 Release Fish ,7B49,82,6.2
2018 Release Fish ,75D1,76,4.8
2018 Release Fish ,75AC,78,5.2
2018 Release Fish ,7A5B,78,5.2
2018 Release Fish ,7522,76,4.6
2018 Release Fish ,7696,76,4.8
2018 Release Fish ,746D,78,5.3
2018 Release Fish ,75C5,74,4.4
2018 Release Fish ,7B45,76,4.3
2018 Release Fish ,74AB,75,4.3
2018 Release Fish ,734A,74,4.5
2018 Release Fish ,72CB,76,4.9
2018 Release Fish ,74B1,78,5
2018 Release Fish ,76AB,77,5
2018 Release Fish ,75AB,76,4.8
2018 Release Fish ,7269,75,4.5
2018 Release Fish ,74D1,77,4.7
2018 Release Fish ,80AA,77,5
2018 Release Fish ,7514,75,4.4
2018 Release Fish ,71AD,74,4.2
2018 Release Fish ,73D5,75,4.6
2018 Release Fish ,7AA4,79,5.4
2018 Release Fish ,75B6,82,5.6
2018 Release Fish ,7526,77,4.7
2018 Release Fish ,7AD1,75,4.4
2018 Release Fish ,7AC9,77,5.2
2018 Release Fish ,74D5,80,5.1
2018 Release Fish ,814A,73,4.2
2018 Release Fish ,76B3,76,4.8
2018 Release Fish ,7969,77,4.9
2018 Release Fish ,76D9,74,4.3
2018 Release Fish ,72AC,75,4.7
2018 Release Fish ,7BA5,74,4.5
2018 Release Fish ,7D55,78,4.7
2018 Release Fish ,7693,75,4.2
2018 Release Fish ,7521,77,4.6
2018 Release Fish ,7525,80,5.4
2018 Release Fish ,7D57,75,4.3
2018 Release Fish ,75DD,76,4.9
2018 Release Fish ,75C9,78,5.2
2018 Release Fish ,776A,73,4.6
2018 Release Fish ,74B4,78,5.2
2018 Release Fish ,7425,76,4.7
2018 Release Fish ,7543,78,5.1
2018 Release Fish ,74D2,74,4.4
2018 Release Fish ,7953,75,4.4
2018 Release Fish ,79AB,78,5
2018 Release Fish ,751D,86,6.8
2018 Release Fish ,7691,76,5
2018 Release Fish ,7DAA,75,4.5
2018 Release Fish ,72B2,75,4.4
2018 Release Fish ,75B7,73,4.3
2018 Release Fish ,7A8D,76,4.7
2018 Release Fish ,7AB7,77,4.6
2018 Release Fish ,7AA7,76,4.6
2018 Release Fish ,7D29,72,4.1
2018 Release Fish ,755E,74,4.3
2018 Release Fish ,7454,79,5.1
2018 Release Fish ,7256,74,4.4
2018 Release Fish ,7A69,78,5.1
2018 Release Fish ,7699,74,4.4
2018 Release Fish ,82B6,75,4.4
2018 Release Fish ,74BA,74,4.3
2018 Release Fish ,7289,75,4.6
2018 Release Fish ,757D,78,4.9
2018 Release Fish ,74A8,75,4.4
2018 Release Fish ,844A,75,4.5
2018 Release Fish ,8252,74,4.5
2018 Release Fish ,7956,75,4.7
2018 Release Fish ,7BA9,75,4.4
2018 Release Fish ,76C5,79,5.5
2018 Release Fish ,74CB,76,5
2018 Release Fish ,76B1,73,4.2
2018 Release Fish ,72A3,74,4.5
2018 Release Fish ,754C,75,4.5
2018 Release Fish ,7527,79,5.6
2018 Release Fish ,7AE5,74,4.6
2018 Release Fish ,7547,75,4.8
2018 Release Fish ,8296,75,4.6
2018 Release Fish ,7DA5,76,4.8
2018 Release Fish ,7575,77,5.4
2018 Release Fish ,72D2,80,5.5
2018 Release Fish ,742A,75,4.7
2018 Release Fish ,7C55,78,5.2
2018 Release Fish ,7AAD,75,4.5
2018 Release Fish ,77A5,76,4.7
2018 Release Fish ,7465,79,5.4
2018 Release Fish ,7585,80,5.5
2018 Release Fish ,7566,75,4.8
2018 Release Fish ,7D49,74,4.5
2018 Release Fish ,796B,79,5.4
2018 Release Fish ,74A6,76,4.7
2018 Release Fish ,748B,73,4.2
2018 Release Fish ,7524,74,4.5
2018 Release Fish ,7975,71,4.5
2018 Release Fish ,7A8B,76,4.9
2018 Release Fish ,7562,80,5.4
2018 Release Fish ,7593,77,5
2018 Release Fish ,7735,75,4.7
2018 Release Fish ,826A,76,4.5
2018 Release Fish ,752C,74,4.8
2018 Release Fish ,72B4,74,4.5
2018 Release Fish ,7DD5,76,4.9
2018 Release Fish ,7656,75,4.7
2018 Release Fish ,78AB,76,5.3
2018 Release Fish ,7EA9,75,4.7
2018 Release Fish ,7567,74,4.7
2018 Release Fish ,7EAA,75,4.4
2018 Release Fish ,7A91,75,4.7
2018 Release Fish ,725A,74,4.3
2018 Release Fish ,74A2,75,4.6
2018 Release Fish ,7AEA,77,4.9
2018 Release Fish ,7B4D,76,5
2018 Release Fish ,775A,78,5.2
2018 Release Fish ,74C5,73,4.4
2018 Release Fish ,7769,75,4.9
2018 Release Fish ,74CA,77,5.5
2018 Release Fish ,7895,75,4.5
2018 Release Fish ,765A,74,4.3
2018 Release Fish ,74B5,76,4.8
2018 Release Fish ,7A6A,77,4.6
2018 Release Fish ,744D,75,4.3
2018 Release Fish ,7B2B,78,5
2018 Release Fish ,74AF,78,4.8
2018 Release Fish ,7D25,76,4.6
2018 Release Fish ,7D59,75,4.4
2018 Release Fish ,75B3,76,4.4
2018 Release Fish ,756D,78,4.7
2018 Release Fish ,750D,79,5.2
2018 Release Fish ,7528,74,4.4
2018 Release Fish ,7D65,78,4.7
2018 Release Fish ,748A,80,5.4
2018 Release Fish ,76D6,80,5.2
2018 Release Fish ,752B,80,5
2018 Release Fish ,72B5,74,4.2
2018 Release Fish ,7AD9,75,4.2
2018 Release Fish ,755C,75,4.5
2018 Release Fish ,7CD5,75,4.4
2018 Release Fish ,766B,77,4.7
2018 Release Fish ,7D6D,77,4.6
2018 Release Fish ,755B,75,4.4
2018 Release Fish ,74A4,75,4.2
2018 Release Fish ,7516,77,5.3
2018 Release Fish ,75B1,73,5.1
2018 Release Fish ,7544,76,5.6
2018 Release Fish ,7435,79,5.7
2018 Release Fish ,76AE,77,5.5
2018 Release Fish ,725B,75,5
2018 Release Fish ,7C95,77,5.2
2018 Release Fish ,76BB,77,5.7
2018 Release Fish ,828A,77,5.4
2018 Release Fish ,74D6,76,5.1
2018 Release Fish ,82D5,76,5.1
2018 Release Fish ,76C9,74,4.7
2018 Release Fish ,766D,77,4.9
2018 Release Fish ,7EB5,75,5.2
2018 Release Fish ,76DA,77,5.4
2018 Release Fish ,769D,77,5.3
2018 Release Fish ,72ED,77,5.2
2018 Release Fish ,76D1,82,6
2018 Release Fish ,7BD5,77,5.5
2018 Release Fish ,7945,75,5
2018 Release Fish ,7AAE,76,5.2
2018 Release Fish ,73A9,77,4.4
2018 Release Fish ,7659,75,4.5
2018 Release Fish ,82A4,78,5.1
2018 Release Fish ,728D,76,5.1
2018 Release Fish ,79AA,76,5.2
2018 Release Fish ,7365,77,5.7
2018 Release Fish ,7B75,75,4.2
2018 Release Fish ,76A7,76,4.2
2018 Release Fish ,7555,74,4.2
2018 Release Fish ,7B25,74,4.2
2018 Release Fish ,7235,74,4.4
2018 Release Fish ,7571,79,5.5
2018 Release Fish ,762D,75,4.2
