year,hex,length,weight
2017 Release Fish ,4156,78,5.4
2017 Release Fish ,4157,79,5.6
2017 Release Fish ,4159,80,5.8
2017 Release Fish ,415A,81,6.1
2017 Release Fish ,415D,91,9.1
2017 Release Fish ,4165,75,4.7
2017 Release Fish ,4169,76,4.9
2017 Release Fish ,416A,84,6.7
2017 Release Fish ,6A17,83,6.2
2017 Release Fish ,6A19,86,7.3
2017 Release Fish ,32D5,84,6.1
2017 Release Fish ,32DD,88,7.4
2017 Release Fish ,332D,89,8.3
2017 Release Fish ,334A,85,7
2017 Release Fish ,335D,82,6
2017 Release Fish ,3449,80,5.7
2017 Release Fish ,346B,84,6.9
2017 Release Fish ,34BD,75,5
2017 Release Fish ,34D6,83,6.5
2017 Release Fish ,34EA,78,5.1
2017 Release Fish ,3519,94,9.5
2017 Release Fish ,351B,88,7.7
2017 Release Fish ,3527,77,5.3
2017 Release Fish ,352C,87,7.5
2017 Release Fish ,3534,87,7.6
2017 Release Fish ,353A,90,7.9
2017 Release Fish ,355E,90,9.5
2017 Release Fish ,356E,88,7.8
2017 Release Fish ,3571,90,8.5
2017 Release Fish ,358B,85,7.1
2017 Release Fish ,35AD,93,8.6
2017 Release Fish ,35B4,85,6.7
2017 Release Fish ,35BD,85,7.3
2017 Release Fish ,35ED,78,5.3
2017 Release Fish ,35F5,89,8.5
2017 Release Fish ,3615,89,8.1
2017 Release Fish ,362D,84,7
2017 Release Fish ,365A,86,7.2
2017 Release Fish ,3669,78,5.1
2017 Release Fish ,3691,82,6.8
2017 Release Fish ,3692,79,5.4
2017 Release Fish ,3693,87,7.9
2017 Release Fish ,36A8,75,5
2017 Release Fish ,36A9,91,8.6
2017 Release Fish ,36AB,85,6.6
2017 Release Fish ,36AC,85,7
2017 Release Fish ,36B1,85,7.3
2017 Release Fish ,36B2,77,5
2017 Release Fish ,36BB,77,5.5
2017 Release Fish ,36BD,83,7.2
2017 Release Fish ,36C5,80,7.2
2017 Release Fish ,36C9,80,5.7
2017 Release Fish ,36CA,79,5.6
2017 Release Fish ,36DA,82,6.3
2017 Release Fish ,36DB,86,7.8
2017 Release Fish ,36DD,82,6.3
2017 Release Fish ,3600000,85,7.1
2017 Release Fish ,36EA,78,5.6
2017 Release Fish ,36EB,90,7.8
2017 Release Fish ,36ED,84,6.5
2017 Release Fish ,3725,88,8.6
2017 Release Fish ,3729,94,9.6
2017 Release Fish ,372A,72,5
2017 Release Fish ,372B,86,7.5
2017 Release Fish ,372D,85,7.3
2017 Release Fish ,3745,90,8.1
2017 Release Fish ,3749,93,9.4
2017 Release Fish ,374A,83,6.5
2017 Release Fish ,374B,82,6.1
2017 Release Fish ,375A,86,7
2017 Release Fish ,375B,85,7.1
2017 Release Fish ,3765,72,4.9
2017 Release Fish ,3769,78,5.6
2017 Release Fish ,376A,82,6.3
2017 Release Fish ,376B,79,6.2
2017 Release Fish ,3775,93,9.4
2017 Release Fish ,3795,83,6.3
2017 Release Fish ,37A5,74,4.6
2017 Release Fish ,38A9,89,8
2017 Release Fish ,38AD,81,6
2017 Release Fish ,3915,82,5.9
2017 Release Fish ,394D,84,6.3
2017 Release Fish ,39A5,74,4.6
2017 Release Fish ,39A9,80,5.9
2017 Release Fish ,39B5,79,5.4
2017 Release Fish ,39D5,87,7.8
2017 Release Fish ,3A45,80,6
2017 Release Fish ,3A5A,82,6.5
2017 Release Fish ,3AA1,85,7.3
2017 Release Fish ,3AA3,83,6.7
2017 Release Fish ,3AA4,81,6
2017 Release Fish ,3AA6,80,5.7
2017 Release Fish ,3AA8,82,6.9
2017 Release Fish ,3AB2,85,7.3
2017 Release Fish ,3AB4,88,8.1
2017 Release Fish ,3AB5,82,6.4
2017 Release Fish ,3AB7,78,5.2
2017 Release Fish ,3AB9,84,7.1
2017 Release Fish ,3ABB,84,6.6
2017 Release Fish ,3AC9,77,5.2
2017 Release Fish ,3ACB,78,5.7
2017 Release Fish ,3AD9,79,5.5
2017 Release Fish ,3ADA,77,5.2
2017 Release Fish ,3AE9,81,6.1
2017 Release Fish ,3AEA,84,6.7
2017 Release Fish ,3AEB,89,8.4
2017 Release Fish ,3B53,87,7.4
2017 Release Fish ,3B5B,77,5
2017 Release Fish ,3BA5,78,5.2
2017 Release Fish ,3BA9,80,5.7
2017 Release Fish ,3BAA,79,5.4
2017 Release Fish ,3BD5,80,5.9
2017 Release Fish ,6979,84,6.9
2017 Release Fish ,697A,82,6.2
2017 Release Fish ,697B,80,5.6
2017 Release Fish ,697D,79,5.4
2017 Release Fish ,6985,78,5.3
2017 Release Fish ,6989,84,6.2
2017 Release Fish ,698A,77,5
2017 Release Fish ,698B,81,5.7
2017 Release Fish ,698D,85,7
2017 Release Fish ,6991,80,6
2017 Release Fish ,6992,84,6.2
2017 Release Fish ,6993,84,6.9
2017 Release Fish ,6994,87,7.8
2017 Release Fish ,6995,90,8.5
2017 Release Fish ,6996,91,9.3
2017 Release Fish ,6997,76,4.7
2017 Release Fish ,6999,85,7.3
2017 Release Fish ,699A,76,4.9
2017 Release Fish ,699B,86,7.4
2017 Release Fish ,69A1,84,6.7
2017 Release Fish ,69A2,83,6.6
2017 Release Fish ,69A3,88,8.3
2017 Release Fish ,69A4,89,7.8
2017 Release Fish ,69A5,83,6.7
2017 Release Fish ,69A6,87,7.3
2017 Release Fish ,69A7,86,6.7
2017 Release Fish ,69A8,85,7
2017 Release Fish ,69A9,86,7.4
2017 Release Fish ,69AB,87,7.8
2017 Release Fish ,69AC,90,8.9
2017 Release Fish ,69AD,87,7.3
2017 Release Fish ,69AE,88,8.2
2017 Release Fish ,69AF,89,8.1
2017 Release Fish ,69B1,88,8
2017 Release Fish ,69B2,91,8.9
2017 Release Fish ,69B3,77,5.5
2017 Release Fish ,69B4,83,6.4
2017 Release Fish ,69B7,84,6.5
2017 Release Fish ,69B9,84,6.6
2017 Release Fish ,69BA,85,6.6
2017 Release Fish ,69BB,86,7.3
2017 Release Fish ,69BD,89,8.6
2017 Release Fish ,69C5,75,4.7
2017 Release Fish ,69C9,80,5.7
2017 Release Fish ,69CA,84,6.8
2017 Release Fish ,69CB,78,5.5
2017 Release Fish ,69CD,75,4.6
2017 Release Fish ,69D1,83,6.7
2017 Release Fish ,69D3,84,6.7
2017 Release Fish ,69D4,77,5.2
2017 Release Fish ,69D5,85,7.2
2017 Release Fish ,69D6,86,7.4
2017 Release Fish ,69D7,77,5.2
2017 Release Fish ,69D9,92,9
2017 Release Fish ,69DA,93,9.1
2017 Release Fish ,69DB,80,5.6
2017 Release Fish ,69DD,87,7.4
2017 Release Fish ,6900000,76,5.4
2017 Release Fish ,69000000000,83,6.6
2017 Release Fish ,69EA,88,8.2
2017 Release Fish ,69EB,84,6.6
2017 Release Fish ,69ED,84,6.5
2017 Release Fish ,6A05,85,7.2
2017 Release Fish ,6A09,85,6.6
2017 Release Fish ,6A0A,90,7.5
2017 Release Fish ,6A0B,84,6.3
2017 Release Fish ,6A0D,76,5.2
2017 Release Fish ,6A11,86,7.6
2017 Release Fish ,6A12,79,6
2017 Release Fish ,6A13,81,6.3
2017 Release Fish ,6A14,83,6.5
2017 Release Fish ,6A15,85,6.9
2017 Release Fish ,6A16,86,8
2017 Release Fish ,2ECB,84,7.2
2017 Release Fish ,2ECD,78,5.8
2017 Release Fish ,2ED1,78,5.4
2017 Release Fish ,2ED2,76,4.8
2017 Release Fish ,2ED3,78,5.1
2017 Release Fish ,2ED6,75,5.4
2017 Release Fish ,2ED7,79,6.2
2017 Release Fish ,2ED9,83,6.9
2017 Release Fish ,2EDA,78,5.1
2017 Release Fish ,2EDB,80,6.3
2017 Release Fish ,2EDD,82,6.5
2017 Release Fish ,2EE5,77,5.8
2017 Release Fish ,2EEA,75,4.8
2017 Release Fish ,2EEB,90,9.5
2017 Release Fish ,2EED,72,5.5
2017 Release Fish ,2EF5,81,6.5
2017 Release Fish ,2F15,74,4.8
2017 Release Fish ,2F29,82,7
2017 Release Fish ,2F2A,85,6.7
2017 Release Fish ,2F2D,82,6.6
2017 Release Fish ,2F35,75,4.9
2017 Release Fish ,2F45,82,6.7
2017 Release Fish ,2F49,75,4.8
2017 Release Fish ,2F4A,76,5.7
2017 Release Fish ,2F4B,75,4.5
2017 Release Fish ,2F51,82,6.6
2017 Release Fish ,2F52,79,5.5
2017 Release Fish ,2F53,80,5.7
2017 Release Fish ,2F54,78,5.9
2017 Release Fish ,2F55,82,6.8
2017 Release Fish ,2F56,79,5.9
2017 Release Fish ,2F57,80,6
2017 Release Fish ,2F59,83,6.9
2017 Release Fish ,2F5A,75,4.8
2017 Release Fish ,2F5B,75,5.2
2017 Release Fish ,2F5D,77,5.9
2017 Release Fish ,2F65,80,5.9
2017 Release Fish ,2F69,76,5.4
2017 Release Fish ,2F6A,81,6.1
